"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Supply and demand of primary and secondary energy in terajoules, annual",25100029,128-0016,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510002901",1;2;3;31,"CURRENT - a cube available to the public and that is current",Annual,1995-01-01,2016-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Fuel type",,
3,"Supply and demand characteristics",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
2198,"Crude Oil and Natural Gas"

"Subject Code","Subject Name"
25,Energy

"Note ID",Note
1,"For quarterly data on reference years prior to 2002, please see CANSIM table 128-0002."
2,"CANSIM tables 128-0009, 128-0010 and 128-0015 have been archived and replaced with CANSIM tables 128-0016, 128-0017 and 128-0018. Comparisons of the new datasets with earlier published datasets should be done with caution."
3,"Values for production and availability for ""total primary and secondary"" are not shown as these would lead to double-counting of fuels that are both a primary energy form and used to produce a secondary energy form."
4,"Shows the net inter-regional movement of product between regions."
5,"Shows the transfer of similar products between different product forms; for example, still gas to natural gas, natural gas to produce hydrogen in petroleum refineries."
6,"Includes cyclical billing variations, metering differences and losses in transportation. In the case of crude oil, includes sales to non-refineries."
7,"The amount which was available for use. This includes the summation of production, imports, inter-regional transfers, inter-product transfers and other adjustments, less exports and stock variation."
8,"The amount available after the amounts used in transformation processes are subtracted. Availability minus stock change, utilities and industry, transformed to electricity - by utilities, transformed to electricity - by industry, transformed to coke and manufactured gases, transformed to refined products and transformed to steam generation."
9,"Producers' consumption as measured here is the consumption by the producing industry of its own produced fuel; for example, refined petroleum products consumed by the refined petroleum product industry, or natural gas used in the field, flared and waste, field uses, gathering uses, plant uses and metering adjustments. It does not include consumption of energy forms produced by other energy supply industries; for example, it would exclude the use of natural gas by the petroleum refining industry. In the case of electricity, it includes transmission losses, adjustments, unaccounted for amounts which are subject to variation because of cyclical billing, etcetera, but excludes generating station use output as measured at the generating station gate."
10,"Amounts shown here are for amounts used for purposes other than fuel purposes. Includes products being used as petrochemical feedstock, anodes and/or cathodes, greases, lubricants, etcetera."
11,"The summation of the usage in mining and oil and gas extraction, manufacturing, forestry, construction, transportation, agriculture, residential, public administration and commercial and other institutional."
12,"Comprises of establishments primarily engaged in extracting naturally occurring minerals. This includes metal mines, non-metal mines, coal mines, crude petroleum and natural gas extraction industries, stone quarries gravel pits, exploration for minerals, development of mineral properties and contract drilling operations. Up to and including 2003: North American Industry Classification System (NAICS) code 21, excluding 213118, 213119 and part of 212326. After 2003: NAICS code 21."
13,"Includes establishments primarily engaged in manufacturing pulp, paper and paper products. Up to and including 2003; North American Industry Classification System (NAICS) codes 322111, 322112, 322122 and parts of 321216, 322121 and 322130. After 2003; NAICS code 322."
14,"Establishments primarily engaged in operating blast furnaces, casting mills, rolling mills or coke ovens operated in association with blast furnaces including steel foundries. Up to and including 2003; North American Industry Classification System (NAICS) codes 331110, 331221 and 331514. After 2003; NAICS codes 3311, 3312 and 33151."
15,"Establishments primarily engaged in the production of aluminum and the refining of non-ferrous metals. Up to and including 2003; North American Industry Classification System (NAICS) codes 331313 and 331410. After 2003; NAICS codes 3313, 3314 and 33152."
16,"Establishments primarily engaged in manufacturing cement. North American Industry Classification System (NAICS) code 327310. This classification does not include ready-mix concrete operations, which is included in other manufacturing."
17,"Establishments primarily engaged in manufacturing of a group of refined petroleum products including fuels, blended oils and greases. North American Industry Classification System (NAICS) code 324110 and part of 324190."
18,"Establishments primarily engaged in manufacturing industrial organic and inorganic chemicals and chemical fertilizers. Up to and including 2003: North American Industry Classification System (NAICS) codes 325110, 325120, 325130, 325181, 325189, 325313 and parts of 325190, 325210, 325410 and 325610. After 2003: NAICS code 325."
19,"All other manufacturing industries (North American Industry Classification System (NAICS) codes 31, 32 and 33) not listed above. In some instances, this classification is used when no breakdown of the component manufacturing industries is provided."
20,"Establishments primarily engaged in forestry and logging services. North American Industry Classification System (NAICS) codes 113 and 1153."
21,"Establishments primarily engaged in the construction of buildings, highways, dams, etcetera, and those providing services to the construction industry. Special trade contractors primarily engaged in construction work is such specialties as plumbing, carpentry, painting, etcetera are included here. North American Industry Classification System (NAICS) code 23. Sales of asphalt (in non-energy refined petroleum products table) for paving purposes, regardless of the purchaser, are included here."
22,"In this sector, only the use of fuel by the transportation industry for transportation purposes are included. Excluded are any fuels used for activities not directly involved in transportation (for example; train stations, warehouses, airports, etcetera). These amounts are included in commercial and other institutional. Fuels, which have been purchased for use by the agriculture, commercial and public institutions sectors for transportation purposes, are included in the sectors to which the fuel was sold."
23,"Domestic airlines engaged primarily in the for-hire, common-carrier transportation of people and/or goods using aircraft, such as aeroplanes and helicopters. North American Industry Classification System (NAICS) code 481. Exclude foreign airlines. Also excluded are establishments engaged in providing specialty flying services such as aerial photography, surveying, air taxi, flying clubs, flying schools, recreation flying, etcetera, which are included in commercial and other institutional. Aerial crop spraying and/or crop dusting is considered to be agriculture."
24,"Establishments primarily engaged in the water transportation of passengers and goods, using equipment designed for those purposes and provided by ships of Canadian registry (flag). Commercial fishing is also included. North American Industry Classification System (NAICS) codes 1141 and 483. Excluded are usage by National Defence and the Canadian Coast Guard, which are included in public administration."
25,"Establishments primarily engaged in operating pipelines for the transport of natural gas, crude oil and other products. Also included are establishments engaged in the distribution of natural gas through a series of mains. North American Industry Classification System (NAICS) codes 486 and 2212."
26,"Establishments primarily engaged in truck transport services, in the operation of urban, interurban and rural transit systems, school buses, charter and sightseeing buses, taxis and limousine services to airports and stations. North American Industry Classification System (NAICS) codes 484, 485, 4871, 4879, 4884, 4885 and 4889."
27,"Establishments primarily engaged in agricultural, hunting and trapping activities. North American Industry Classification System (NAICS) codes 111, 112, 1142, 1151 and 1152. Excluded are any operations primarily engaged in food processing, farm machinery manufacture and repair."
28,"Includes all personal residences including single family residences, apartments, apartment hotels, condominiums and farm homes."
29,"Establishments of federal, provincial and municipal governments primarily engaged in activities associated with public administration. This includes such establishments such as the Federal Public Service, National Defence, Royal Canadian Mounted Police and provincial and local administrations. North American Industry Classification System (NAICS) code 91."
30,"Final consumers other than those listed above. This includes service industries related to mining, transportation, as well as storage and warehousing, communications and utility (excluding electricity and natural gas), wholesale and retail trade, finance and insurance, real estate and business service, education, health and social services and other service industries."
31,"Electricity disposition data for Commercial and other institutional were revised in January 2017 from 1995-2004 for Newfoundland and Labrador, Quebec, Ontario, and Alberta, and from 2005-2011 for all provinces."
32,"Coal data for Ontario were revised for the years 2005-2013 in January 2017."
33,"Electricity data for Ontario were revised in January 2017. Exports were revised for years 2010, 2011 and 2012. Producer consumption and disposition data for Pipelines, Agriculture, Residential, and Public administration were revised for years 2009-2014. Electricity disposition data for Urban transit were revised for years 2007-2014."
34,"Nunavut Territory motor gasoline data (availability) were revised in January 2017 for years 2005-2014. Inter-regional transfers in the supplying provinces were adjusted to reflect motor gasoline reallocation to Nunavut. Final demand data were revised as a result of the changes in motor gasoline availability."
35,"Nunavut Territory diesel fuel oil data (availability) were revised in January 2017 for years 2005-2014. Inter-regional transfers in the supplying provinces were adjusted to reflect diesel fuel reallocation to Nunavut. Final demand data were revised as a result of the changes in diesel availability."

"Correction ID","Correction Date","Correction Note"

